ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
231,"BUFFER(NAND(C, XOR(A, B)))","[1, 1, 0, 1]",BUFFER -> NAND -> XOR,4.2,6.5,3,1
232,"BUFFER(NAND(C, XNOR(A, B)))","[0, 0, 0, 1]",BUFFER -> NAND -> XNOR,4.2,6.5,3,1
233,"BUFFER(NOR(C, AND(A, B)))","[0, 1, 0, 1]",BUFFER -> NOR -> AND,3.7,6,3,0
234,"BUFFER(NOR(C, OR(A, B)))","[0, 1, 0, 0]",BUFFER -> NOR -> OR,3.7,6,3,0
235,"BUFFER(NOR(C, NOT(A)))","[0, 1, 0, 0]",BUFFER -> NOR -> NOT,2.7,4.5,3,0
236,"BUFFER(NOR(C, BUFFER(A)))","[1, 0, 0, 1]",BUFFER -> NOR -> BUFFER,1.9,3.5,3,0
237,"BUFFER(NOR(C, NAND(A, B)))","[1, 1, 1, 0]",BUFFER -> NOR -> NAND,3.2,5.5,3,0
238,"BUFFER(NOR(C, NOR(A, B)))","[0, 1, 1, 0]",BUFFER -> NOR -> NOR,3.2,5.5,3,0
239,"BUFFER(NOR(C, XOR(A, B)))","[0, 0, 0, 1]",BUFFER -> NOR -> XOR,4.2,6.5,3,0
240,"BUFFER(NOR(C, XNOR(A, B)))","[1, 0, 0, 1]",BUFFER -> NOR -> XNOR,4.2,6.5,3,0
241,"BUFFER(XOR(C, AND(A, B)))","[0, 0, 1, 1]",BUFFER -> XOR -> AND,4.7,7,3,0
242,"BUFFER(XOR(C, OR(A, B)))","[1, 1, 0, 1]",BUFFER -> XOR -> OR,4.7,7,3,0
243,"BUFFER(XOR(C, NOT(A)))","[0, 0, 0, 0]",BUFFER -> XOR -> NOT,3.7,5.5,3,1
244,"BUFFER(XOR(C, BUFFER(A)))","[1, 1, 0, 0]",BUFFER -> XOR -> BUFFER,2.9,4.5,3,0
245,"BUFFER(XOR(C, NAND(A, B)))","[0, 0, 0, 0]",BUFFER -> XOR -> NAND,4.2,6.5,3,1
246,"BUFFER(XOR(C, NOR(A, B)))","[1, 1, 0, 1]",BUFFER -> XOR -> NOR,4.2,6.5,3,1
247,"BUFFER(XOR(C, XOR(A, B)))","[1, 0, 1, 1]",BUFFER -> XOR -> XOR,5.2,7.5,3,0
248,"BUFFER(XOR(C, XNOR(A, B)))","[1, 1, 1, 1]",BUFFER -> XOR -> XNOR,5.2,7.5,3,0
249,"BUFFER(XNOR(C, AND(A, B)))","[0, 0, 1, 0]",BUFFER -> XNOR -> AND,4.7,7,3,1
250,"BUFFER(XNOR(C, OR(A, B)))","[0, 0, 1, 1]",BUFFER -> XNOR -> OR,4.7,7,3,0
251,"BUFFER(XNOR(C, NOT(A)))","[0, 0, 1, 0]",BUFFER -> XNOR -> NOT,3.7,5.5,3,0
252,"BUFFER(XNOR(C, BUFFER(A)))","[0, 1, 0, 1]",BUFFER -> XNOR -> BUFFER,2.9,4.5,3,0
253,"BUFFER(XNOR(C, NAND(A, B)))","[1, 0, 0, 1]",BUFFER -> XNOR -> NAND,4.2,6.5,3,1
254,"BUFFER(XNOR(C, NOR(A, B)))","[1, 0, 0, 1]",BUFFER -> XNOR -> NOR,4.2,6.5,3,1
255,"BUFFER(XNOR(C, XOR(A, B)))","[1, 1, 0, 1]",BUFFER -> XNOR -> XOR,5.2,7.5,3,0
256,"BUFFER(XNOR(C, XNOR(A, B)))","[1, 1, 1, 1]",BUFFER -> XNOR -> XNOR,5.2,7.5,3,1
257,"NAND(D, AND(C, AND(A, B)))","[1, 1, 1, 0]",NAND -> AND -> AND,5.5,8.5,3,1
258,"NAND(D, AND(C, OR(A, B)))","[0, 1, 0, 1]",NAND -> AND -> OR,5.5,8.5,3,1
259,"NAND(D, AND(C, NOT(A)))","[1, 1, 0, 1]",NAND -> AND -> NOT,4.5,7,3,1
260,"NAND(D, AND(C, BUFFER(A)))","[0, 1, 1, 0]",NAND -> AND -> BUFFER,3.7,6,3,1
261,"NAND(D, AND(C, NAND(A, B)))","[0, 0, 0, 1]",NAND -> AND -> NAND,5,8,3,1
262,"NAND(D, AND(C, NOR(A, B)))","[1, 0, 1, 0]",NAND -> AND -> NOR,5,8,3,1
263,"NAND(D, AND(C, XOR(A, B)))","[0, 0, 1, 0]",NAND -> AND -> XOR,6,9,3,1
264,"NAND(D, AND(C, XNOR(A, B)))","[0, 0, 0, 0]",NAND -> AND -> XNOR,6,9,3,1
265,"NAND(D, OR(C, AND(A, B)))","[1, 1, 0, 1]",NAND -> OR -> AND,5.5,8.5,3,1
266,"NAND(D, OR(C, OR(A, B)))","[0, 1, 0, 1]",NAND -> OR -> OR,5.5,8.5,3,1
267,"NAND(D, OR(C, NOT(A)))","[0, 0, 1, 0]",NAND -> OR -> NOT,4.5,7,3,0
268,"NAND(D, OR(C, BUFFER(A)))","[1, 0, 1, 0]",NAND -> OR -> BUFFER,3.7,6,3,0
269,"NAND(D, OR(C, NAND(A, B)))","[0, 0, 1, 0]",NAND -> OR -> NAND,5,8,3,0
270,"NAND(D, OR(C, NOR(A, B)))","[1, 0, 0, 1]",NAND -> OR -> NOR,5,8,3,1
271,"NAND(D, OR(C, XOR(A, B)))","[1, 1, 1, 1]",NAND -> OR -> XOR,6,9,3,0
272,"NAND(D, OR(C, XNOR(A, B)))","[0, 1, 1, 1]",NAND -> OR -> XNOR,6,9,3,0
273,"NAND(D, NOT(AND(A, B)))","[0, 0, 0, 1]",NAND -> NOT -> AND,4.5,7,3,1
274,"NAND(D, NOT(OR(A, B)))","[0, 1, 1, 1]",NAND -> NOT -> OR,4.5,7,3,1
275,"NAND(D, NOT(NOT(A)))","[0, 1, 1, 0]",NAND -> NOT -> NOT,3.5,5.5,3,1
276,"NAND(D, NOT(BUFFER(A)))","[1, 0, 1, 1]",NAND -> NOT -> BUFFER,2.7,4.5,3,0
277,"NAND(D, NOT(NAND(A, B)))","[0, 0, 0, 0]",NAND -> NOT -> NAND,4,6.5,3,1
278,"NAND(D, NOT(NOR(A, B)))","[0, 0, 1, 1]",NAND -> NOT -> NOR,4,6.5,3,0
279,"NAND(D, NOT(XOR(A, B)))","[1, 1, 1, 1]",NAND -> NOT -> XOR,5,7.5,3,1
280,"NAND(D, NOT(XNOR(A, B)))","[1, 1, 0, 0]",NAND -> NOT -> XNOR,5,7.5,3,1
281,"NAND(D, BUFFER(AND(A, B)))","[0, 0, 0, 0]",NAND -> BUFFER -> AND,3.7,6,3,1
282,"NAND(D, BUFFER(OR(A, B)))","[1, 1, 1, 0]",NAND -> BUFFER -> OR,3.7,6,3,0
283,"NAND(D, BUFFER(NOT(A)))","[0, 1, 0, 1]",NAND -> BUFFER -> NOT,2.7,4.5,3,1
284,"NAND(D, BUFFER(BUFFER(A)))","[0, 1, 1, 1]",NAND -> BUFFER -> BUFFER,1.9,3.5,3,0
285,"NAND(D, BUFFER(NAND(A, B)))","[1, 0, 1, 0]",NAND -> BUFFER -> NAND,3.2,5.5,3,1
286,"NAND(D, BUFFER(NOR(A, B)))","[0, 0, 1, 0]",NAND -> BUFFER -> NOR,3.2,5.5,3,1
287,"NAND(D, BUFFER(XOR(A, B)))","[0, 1, 1, 0]",NAND -> BUFFER -> XOR,4.2,6.5,3,0
288,"NAND(D, BUFFER(XNOR(A, B)))","[1, 1, 0, 0]",NAND -> BUFFER -> XNOR,4.2,6.5,3,1
289,"NAND(D, NAND(C, AND(A, B)))","[1, 1, 1, 1]",NAND -> NAND -> AND,5,8,3,1
290,"NAND(D, NAND(C, OR(A, B)))","[0, 1, 0, 1]",NAND -> NAND -> OR,5,8,3,1
291,"NAND(D, NAND(C, NOT(A)))","[0, 1, 0, 0]",NAND -> NAND -> NOT,4,6.5,3,1
292,"NAND(D, NAND(C, BUFFER(A)))","[0, 0, 1, 1]",NAND -> NAND -> BUFFER,3.2,5.5,3,0
293,"NAND(D, NAND(C, NAND(A, B)))","[0, 0, 0, 0]",NAND -> NAND -> NAND,4.5,7.5,3,1
294,"NAND(D, NAND(C, NOR(A, B)))","[0, 0, 0, 1]",NAND -> NAND -> NOR,4.5,7.5,3,1
295,"NAND(D, NAND(C, XOR(A, B)))","[1, 0, 0, 1]",NAND -> NAND -> XOR,5.5,8.5,3,1
296,"NAND(D, NAND(C, XNOR(A, B)))","[1, 1, 0, 0]",NAND -> NAND -> XNOR,5.5,8.5,3,1
297,"NAND(D, NOR(C, AND(A, B)))","[0, 1, 1, 1]",NAND -> NOR -> AND,5,8,3,1
298,"NAND(D, NOR(C, OR(A, B)))","[1, 0, 0, 1]",NAND -> NOR -> OR,5,8,3,1
299,"NAND(D, NOR(C, NOT(A)))","[1, 1, 0, 0]",NAND -> NOR -> NOT,4,6.5,3,1
300,"NAND(D, NOR(C, BUFFER(A)))","[0, 1, 1, 1]",NAND -> NOR -> BUFFER,3.2,5.5,3,1
301,"NAND(D, NOR(C, NAND(A, B)))","[0, 0, 0, 0]",NAND -> NOR -> NAND,4.5,7.5,3,1
302,"NAND(D, NOR(C, NOR(A, B)))","[0, 1, 0, 0]",NAND -> NOR -> NOR,4.5,7.5,3,1
303,"NAND(D, NOR(C, XOR(A, B)))","[0, 0, 1, 1]",NAND -> NOR -> XOR,5.5,8.5,3,1
304,"NAND(D, NOR(C, XNOR(A, B)))","[1, 0, 1, 1]",NAND -> NOR -> XNOR,5.5,8.5,3,1
305,"NAND(D, XOR(C, AND(A, B)))","[1, 1, 0, 0]",NAND -> XOR -> AND,6,9,3,1
306,"NAND(D, XOR(C, OR(A, B)))","[0, 0, 1, 0]",NAND -> XOR -> OR,6,9,3,1
307,"NAND(D, XOR(C, NOT(A)))","[0, 0, 1, 1]",NAND -> XOR -> NOT,5,7.5,3,0
308,"NAND(D, XOR(C, BUFFER(A)))","[1, 0, 0, 0]",NAND -> XOR -> BUFFER,4.2,6.5,3,1
309,"NAND(D, XOR(C, NAND(A, B)))","[1, 1, 1, 0]",NAND -> XOR -> NAND,5.5,8.5,3,1
310,"NAND(D, XOR(C, NOR(A, B)))","[0, 0, 0, 0]",NAND -> XOR -> NOR,5.5,8.5,3,1
311,"NAND(D, XOR(C, XOR(A, B)))","[1, 1, 1, 1]",NAND -> XOR -> XOR,6.5,9.5,3,0
312,"NAND(D, XOR(C, XNOR(A, B)))","[1, 1, 0, 1]",NAND -> XOR -> XNOR,6.5,9.5,3,1
313,"NAND(D, XNOR(C, AND(A, B)))","[0, 0, 1, 0]",NAND -> XNOR -> AND,6,9,3,0
314,"NAND(D, XNOR(C, OR(A, B)))","[0, 0, 1, 1]",NAND -> XNOR -> OR,6,9,3,1
315,"NAND(D, XNOR(C, NOT(A)))","[1, 1, 0, 1]",NAND -> XNOR -> NOT,5,7.5,3,1
316,"NAND(D, XNOR(C, BUFFER(A)))","[0, 1, 1, 1]",NAND -> XNOR -> BUFFER,4.2,6.5,3,1
317,"NAND(D, XNOR(C, NAND(A, B)))","[1, 1, 1, 1]",NAND -> XNOR -> NAND,5.5,8.5,3,1
318,"NAND(D, XNOR(C, NOR(A, B)))","[1, 0, 0, 0]",NAND -> XNOR -> NOR,5.5,8.5,3,1
319,"NAND(D, XNOR(C, XOR(A, B)))","[0, 1, 0, 1]",NAND -> XNOR -> XOR,6.5,9.5,3,1
320,"NAND(D, XNOR(C, XNOR(A, B)))","[1, 1, 0, 0]",NAND -> XNOR -> XNOR,6.5,9.5,3,1
321,"NOR(D, AND(C, AND(A, B)))","[1, 1, 1, 1]",NOR -> AND -> AND,5.5,8.5,3,0
322,"NOR(D, AND(C, OR(A, B)))","[0, 0, 0, 0]",NOR -> AND -> OR,5.5,8.5,3,1
323,"NOR(D, AND(C, NOT(A)))","[0, 0, 0, 1]",NOR -> AND -> NOT,4.5,7,3,1
324,"NOR(D, AND(C, BUFFER(A)))","[1, 0, 0, 1]",NOR -> AND -> BUFFER,3.7,6,3,1
325,"NOR(D, AND(C, NAND(A, B)))","[0, 0, 1, 1]",NOR -> AND -> NAND,5,8,3,0
326,"NOR(D, AND(C, NOR(A, B)))","[1, 1, 1, 0]",NOR -> AND -> NOR,5,8,3,0
327,"NOR(D, AND(C, XOR(A, B)))","[0, 1, 0, 0]",NOR -> AND -> XOR,6,9,3,1
328,"NOR(D, AND(C, XNOR(A, B)))","[1, 1, 1, 0]",NOR -> AND -> XNOR,6,9,3,0
329,"NOR(D, OR(C, AND(A, B)))","[0, 1, 1, 1]",NOR -> OR -> AND,5.5,8.5,3,0
330,"NOR(D, OR(C, OR(A, B)))","[0, 0, 1, 0]",NOR -> OR -> OR,5.5,8.5,3,0
331,"NOR(D, OR(C, NOT(A)))","[0, 1, 1, 1]",NOR -> OR -> NOT,4.5,7,3,0
332,"NOR(D, OR(C, BUFFER(A)))","[1, 0, 0, 0]",NOR -> OR -> BUFFER,3.7,6,3,0
333,"NOR(D, OR(C, NAND(A, B)))","[1, 0, 0, 1]",NOR -> OR -> NAND,5,8,3,1
334,"NOR(D, OR(C, NOR(A, B)))","[1, 1, 1, 0]",NOR -> OR -> NOR,5,8,3,0
335,"NOR(D, OR(C, XOR(A, B)))","[1, 1, 1, 0]",NOR -> OR -> XOR,6,9,3,0
336,"NOR(D, OR(C, XNOR(A, B)))","[0, 1, 0, 0]",NOR -> OR -> XNOR,6,9,3,0
337,"NOR(D, NOT(AND(A, B)))","[1, 0, 0, 0]",NOR -> NOT -> AND,4.5,7,3,0
338,"NOR(D, NOT(OR(A, B)))","[1, 1, 1, 1]",NOR -> NOT -> OR,4.5,7,3,0
339,"NOR(D, NOT(NOT(A)))","[0, 0, 1, 0]",NOR -> NOT -> NOT,3.5,5.5,3,0
340,"NOR(D, NOT(BUFFER(A)))","[1, 1, 0, 1]",NOR -> NOT -> BUFFER,2.7,4.5,3,1
341,"NOR(D, NOT(NAND(A, B)))","[1, 1, 0, 0]",NOR -> NOT -> NAND,4,6.5,3,1
342,"NOR(D, NOT(NOR(A, B)))","[0, 1, 1, 1]",NOR -> NOT -> NOR,4,6.5,3,0
343,"NOR(D, NOT(XOR(A, B)))","[0, 0, 0, 1]",NOR -> NOT -> XOR,5,7.5,3,0
344,"NOR(D, NOT(XNOR(A, B)))","[0, 0, 1, 0]",NOR -> NOT -> XNOR,5,7.5,3,0
345,"NOR(D, BUFFER(AND(A, B)))","[1, 1, 0, 1]",NOR -> BUFFER -> AND,3.7,6,3,0
346,"NOR(D, BUFFER(OR(A, B)))","[1, 0, 1, 0]",NOR -> BUFFER -> OR,3.7,6,3,0
347,"NOR(D, BUFFER(NOT(A)))","[0, 1, 0, 1]",NOR -> BUFFER -> NOT,2.7,4.5,3,0
348,"NOR(D, BUFFER(BUFFER(A)))","[0, 0, 0, 1]",NOR -> BUFFER -> BUFFER,1.9,3.5,3,1
349,"NOR(D, BUFFER(NAND(A, B)))","[0, 1, 1, 1]",NOR -> BUFFER -> NAND,3.2,5.5,3,0
350,"NOR(D, BUFFER(NOR(A, B)))","[0, 0, 0, 0]",NOR -> BUFFER -> NOR,3.2,5.5,3,1
351,"NOR(D, BUFFER(XOR(A, B)))","[0, 1, 1, 1]",NOR -> BUFFER -> XOR,4.2,6.5,3,0
352,"NOR(D, BUFFER(XNOR(A, B)))","[0, 0, 0, 1]",NOR -> BUFFER -> XNOR,4.2,6.5,3,1
353,"NOR(D, NAND(C, AND(A, B)))","[0, 1, 1, 1]",NOR -> NAND -> AND,5,8,3,0
354,"NOR(D, NAND(C, OR(A, B)))","[1, 1, 0, 0]",NOR -> NAND -> OR,5,8,3,1
355,"NOR(D, NAND(C, NOT(A)))","[1, 1, 0, 0]",NOR -> NAND -> NOT,4,6.5,3,0
356,"NOR(D, NAND(C, BUFFER(A)))","[0, 1, 0, 0]",NOR -> NAND -> BUFFER,3.2,5.5,3,0
357,"NOR(D, NAND(C, NAND(A, B)))","[1, 0, 1, 0]",NOR -> NAND -> NAND,4.5,7.5,3,0
358,"NOR(D, NAND(C, NOR(A, B)))","[1, 1, 1, 0]",NOR -> NAND -> NOR,4.5,7.5,3,0
359,"NOR(D, NAND(C, XOR(A, B)))","[0, 0, 1, 1]",NOR -> NAND -> XOR,5.5,8.5,3,0
360,"NOR(D, NAND(C, XNOR(A, B)))","[1, 0, 1, 0]",NOR -> NAND -> XNOR,5.5,8.5,3,0
361,"NOR(D, NOR(C, AND(A, B)))","[0, 1, 0, 1]",NOR -> NOR -> AND,5,8,3,1
362,"NOR(D, NOR(C, OR(A, B)))","[0, 0, 0, 0]",NOR -> NOR -> OR,5,8,3,0
363,"NOR(D, NOR(C, NOT(A)))","[0, 0, 1, 0]",NOR -> NOR -> NOT,4,6.5,3,0
364,"NOR(D, NOR(C, BUFFER(A)))","[1, 1, 0, 0]",NOR -> NOR -> BUFFER,3.2,5.5,3,1
365,"NOR(D, NOR(C, NAND(A, B)))","[0, 1, 1, 0]",NOR -> NOR -> NAND,4.5,7.5,3,0
366,"NOR(D, NOR(C, NOR(A, B)))","[0, 0, 1, 1]",NOR -> NOR -> NOR,4.5,7.5,3,0
367,"NOR(D, NOR(C, XOR(A, B)))","[0, 0, 1, 0]",NOR -> NOR -> XOR,5.5,8.5,3,0
368,"NOR(D, NOR(C, XNOR(A, B)))","[1, 1, 1, 0]",NOR -> NOR -> XNOR,5.5,8.5,3,0
369,"NOR(D, XOR(C, AND(A, B)))","[0, 1, 0, 1]",NOR -> XOR -> AND,6,9,3,0
370,"NOR(D, XOR(C, OR(A, B)))","[1, 0, 0, 0]",NOR -> XOR -> OR,6,9,3,0
371,"NOR(D, XOR(C, NOT(A)))","[0, 1, 1, 0]",NOR -> XOR -> NOT,5,7.5,3,0
372,"NOR(D, XOR(C, BUFFER(A)))","[0, 0, 1, 0]",NOR -> XOR -> BUFFER,4.2,6.5,3,0
373,"NOR(D, XOR(C, NAND(A, B)))","[1, 1, 1, 0]",NOR -> XOR -> NAND,5.5,8.5,3,0
374,"NOR(D, XOR(C, NOR(A, B)))","[1, 0, 1, 1]",NOR -> XOR -> NOR,5.5,8.5,3,0
375,"NOR(D, XOR(C, XOR(A, B)))","[1, 0, 1, 0]",NOR -> XOR -> XOR,6.5,9.5,3,0
376,"NOR(D, XOR(C, XNOR(A, B)))","[0, 1, 0, 1]",NOR -> XOR -> XNOR,6.5,9.5,3,0
377,"NOR(D, XNOR(C, AND(A, B)))","[1, 1, 1, 1]",NOR -> XNOR -> AND,6,9,3,0
378,"NOR(D, XNOR(C, OR(A, B)))","[1, 1, 1, 1]",NOR -> XNOR -> OR,6,9,3,0
379,"NOR(D, XNOR(C, NOT(A)))","[0, 1, 0, 1]",NOR -> XNOR -> NOT,5,7.5,3,0
380,"NOR(D, XNOR(C, BUFFER(A)))","[0, 1, 1, 1]",NOR -> XNOR -> BUFFER,4.2,6.5,3,0
381,"NOR(D, XNOR(C, NAND(A, B)))","[1, 1, 1, 0]",NOR -> XNOR -> NAND,5.5,8.5,3,0
382,"NOR(D, XNOR(C, NOR(A, B)))","[1, 0, 0, 1]",NOR -> XNOR -> NOR,5.5,8.5,3,0
383,"NOR(D, XNOR(C, XOR(A, B)))","[1, 1, 0, 0]",NOR -> XNOR -> XOR,6.5,9.5,3,0
384,"NOR(D, XNOR(C, XNOR(A, B)))","[1, 0, 0, 1]",NOR -> XNOR -> XNOR,6.5,9.5,3,1
385,"XOR(D, AND(C, AND(A, B)))","[1, 1, 0, 0]",XOR -> AND -> AND,6.5,9.5,3,0
386,"XOR(D, AND(C, OR(A, B)))","[1, 1, 1, 1]",XOR -> AND -> OR,6.5,9.5,3,0
387,"XOR(D, AND(C, NOT(A)))","[0, 1, 1, 1]",XOR -> AND -> NOT,5.5,8,3,0
388,"XOR(D, AND(C, BUFFER(A)))","[0, 1, 1, 0]",XOR -> AND -> BUFFER,4.7,7,3,1
389,"XOR(D, AND(C, NAND(A, B)))","[0, 1, 1, 0]",XOR -> AND -> NAND,6,9,3,0
390,"XOR(D, AND(C, NOR(A, B)))","[1, 1, 1, 1]",XOR -> AND -> NOR,6,9,3,1
391,"XOR(D, AND(C, XOR(A, B)))","[0, 1, 0, 0]",XOR -> AND -> XOR,7,10,3,0
392,"XOR(D, AND(C, XNOR(A, B)))","[1, 0, 1, 0]",XOR -> AND -> XNOR,7,10,3,1
393,"XOR(D, OR(C, AND(A, B)))","[1, 1, 0, 0]",XOR -> OR -> AND,6.5,9.5,3,1
394,"XOR(D, OR(C, OR(A, B)))","[1, 0, 1, 0]",XOR -> OR -> OR,6.5,9.5,3,0
395,"XOR(D, OR(C, NOT(A)))","[1, 1, 0, 1]",XOR -> OR -> NOT,5.5,8,3,1
396,"XOR(D, OR(C, BUFFER(A)))","[0, 1, 1, 1]",XOR -> OR -> BUFFER,4.7,7,3,0
397,"XOR(D, OR(C, NAND(A, B)))","[1, 1, 0, 1]",XOR -> OR -> NAND,6,9,3,1
398,"XOR(D, OR(C, NOR(A, B)))","[1, 1, 0, 1]",XOR -> OR -> NOR,6,9,3,1
399,"XOR(D, OR(C, XOR(A, B)))","[1, 0, 0, 1]",XOR -> OR -> XOR,7,10,3,0
400,"XOR(D, OR(C, XNOR(A, B)))","[1, 1, 0, 0]",XOR -> OR -> XNOR,7,10,3,1
401,"XOR(D, NOT(AND(A, B)))","[1, 1, 1, 0]",XOR -> NOT -> AND,5.5,8,3,1
402,"XOR(D, NOT(OR(A, B)))","[0, 1, 1, 1]",XOR -> NOT -> OR,5.5,8,3,1
403,"XOR(D, NOT(NOT(A)))","[1, 0, 1, 0]",XOR -> NOT -> NOT,4.5,6.5,3,0
404,"XOR(D, NOT(BUFFER(A)))","[1, 0, 1, 0]",XOR -> NOT -> BUFFER,3.7,5.5,3,0
405,"XOR(D, NOT(NAND(A, B)))","[1, 1, 1, 0]",XOR -> NOT -> NAND,5,7.5,3,1
406,"XOR(D, NOT(NOR(A, B)))","[1, 0, 1, 0]",XOR -> NOT -> NOR,5,7.5,3,0
407,"XOR(D, NOT(XOR(A, B)))","[1, 0, 0, 0]",XOR -> NOT -> XOR,6,8.5,3,1
408,"XOR(D, NOT(XNOR(A, B)))","[0, 1, 0, 1]",XOR -> NOT -> XNOR,6,8.5,3,0
409,"XOR(D, BUFFER(AND(A, B)))","[0, 0, 0, 0]",XOR -> BUFFER -> AND,4.7,7,3,0
410,"XOR(D, BUFFER(OR(A, B)))","[0, 1, 1, 1]",XOR -> BUFFER -> OR,4.7,7,3,0
411,"XOR(D, BUFFER(NOT(A)))","[0, 1, 0, 0]",XOR -> BUFFER -> NOT,3.7,5.5,3,1
412,"XOR(D, BUFFER(BUFFER(A)))","[0, 1, 0, 0]",XOR -> BUFFER -> BUFFER,2.9,4.5,3,1
413,"XOR(D, BUFFER(NAND(A, B)))","[1, 1, 1, 0]",XOR -> BUFFER -> NAND,4.2,6.5,3,0
414,"XOR(D, BUFFER(NOR(A, B)))","[1, 0, 0, 1]",XOR -> BUFFER -> NOR,4.2,6.5,3,0
415,"XOR(D, BUFFER(XOR(A, B)))","[1, 0, 0, 1]",XOR -> BUFFER -> XOR,5.2,7.5,3,0
416,"XOR(D, BUFFER(XNOR(A, B)))","[1, 0, 0, 1]",XOR -> BUFFER -> XNOR,5.2,7.5,3,0
417,"XOR(D, NAND(C, AND(A, B)))","[0, 0, 0, 1]",XOR -> NAND -> AND,6,9,3,1
418,"XOR(D, NAND(C, OR(A, B)))","[0, 0, 0, 1]",XOR -> NAND -> OR,6,9,3,1
419,"XOR(D, NAND(C, NOT(A)))","[0, 0, 0, 0]",XOR -> NAND -> NOT,5,7.5,3,1
420,"XOR(D, NAND(C, BUFFER(A)))","[0, 1, 1, 1]",XOR -> NAND -> BUFFER,4.2,6.5,3,0
421,"XOR(D, NAND(C, NAND(A, B)))","[1, 0, 1, 0]",XOR -> NAND -> NAND,5.5,8.5,3,0
422,"XOR(D, NAND(C, NOR(A, B)))","[0, 1, 1, 0]",XOR -> NAND -> NOR,5.5,8.5,3,1
423,"XOR(D, NAND(C, XOR(A, B)))","[0, 1, 0, 0]",XOR -> NAND -> XOR,6.5,9.5,3,1
424,"XOR(D, NAND(C, XNOR(A, B)))","[1, 1, 0, 0]",XOR -> NAND -> XNOR,6.5,9.5,3,1
425,"XOR(D, NOR(C, AND(A, B)))","[0, 0, 1, 0]",XOR -> NOR -> AND,6,9,3,0
426,"XOR(D, NOR(C, OR(A, B)))","[1, 1, 0, 0]",XOR -> NOR -> OR,6,9,3,0
427,"XOR(D, NOR(C, NOT(A)))","[1, 0, 1, 0]",XOR -> NOR -> NOT,5,7.5,3,0
428,"XOR(D, NOR(C, BUFFER(A)))","[1, 0, 1, 1]",XOR -> NOR -> BUFFER,4.2,6.5,3,1
429,"XOR(D, NOR(C, NAND(A, B)))","[1, 1, 0, 0]",XOR -> NOR -> NAND,5.5,8.5,3,0
430,"XOR(D, NOR(C, NOR(A, B)))","[1, 1, 1, 0]",XOR -> NOR -> NOR,5.5,8.5,3,1
431,"XOR(D, NOR(C, XOR(A, B)))","[0, 0, 1, 0]",XOR -> NOR -> XOR,6.5,9.5,3,0
432,"XOR(D, NOR(C, XNOR(A, B)))","[1, 0, 1, 1]",XOR -> NOR -> XNOR,6.5,9.5,3,1
433,"XOR(D, XOR(C, AND(A, B)))","[0, 0, 1, 0]",XOR -> XOR -> AND,7,10,3,1
434,"XOR(D, XOR(C, OR(A, B)))","[1, 0, 0, 1]",XOR -> XOR -> OR,7,10,3,1
435,"XOR(D, XOR(C, NOT(A)))","[0, 0, 1, 0]",XOR -> XOR -> NOT,6,8.5,3,0
436,"XOR(D, XOR(C, BUFFER(A)))","[1, 1, 0, 0]",XOR -> XOR -> BUFFER,5.2,7.5,3,0
437,"XOR(D, XOR(C, NAND(A, B)))","[1, 0, 1, 0]",XOR -> XOR -> NAND,6.5,9.5,3,0
438,"XOR(D, XOR(C, NOR(A, B)))","[1, 1, 0, 0]",XOR -> XOR -> NOR,6.5,9.5,3,1
439,"XOR(D, XOR(C, XOR(A, B)))","[1, 0, 0, 1]",XOR -> XOR -> XOR,7.5,10.5,3,0
440,"XOR(D, XOR(C, XNOR(A, B)))","[0, 1, 0, 1]",XOR -> XOR -> XNOR,7.5,10.5,3,1
441,"XOR(D, XNOR(C, AND(A, B)))","[1, 0, 0, 0]",XOR -> XNOR -> AND,7,10,3,1
442,"XOR(D, XNOR(C, OR(A, B)))","[1, 0, 0, 1]",XOR -> XNOR -> OR,7,10,3,0
443,"XOR(D, XNOR(C, NOT(A)))","[1, 0, 1, 1]",XOR -> XNOR -> NOT,6,8.5,3,0
444,"XOR(D, XNOR(C, BUFFER(A)))","[1, 1, 1, 0]",XOR -> XNOR -> BUFFER,5.2,7.5,3,0
445,"XOR(D, XNOR(C, NAND(A, B)))","[0, 0, 1, 1]",XOR -> XNOR -> NAND,6.5,9.5,3,1
446,"XOR(D, XNOR(C, NOR(A, B)))","[0, 1, 0, 0]",XOR -> XNOR -> NOR,6.5,9.5,3,1
447,"XOR(D, XNOR(C, XOR(A, B)))","[0, 1, 1, 1]",XOR -> XNOR -> XOR,7.5,10.5,3,0
448,"XOR(D, XNOR(C, XNOR(A, B)))","[1, 1, 1, 1]",XOR -> XNOR -> XNOR,7.5,10.5,3,0
449,"XNOR(D, AND(C, AND(A, B)))","[1, 0, 0, 0]",XNOR -> AND -> AND,6.5,9.5,3,1
450,"XNOR(D, AND(C, OR(A, B)))","[1, 0, 0, 0]",XNOR -> AND -> OR,6.5,9.5,3,1
451,"XNOR(D, AND(C, NOT(A)))","[1, 0, 1, 1]",XNOR -> AND -> NOT,5.5,8,3,0
452,"XNOR(D, AND(C, BUFFER(A)))","[1, 0, 1, 0]",XNOR -> AND -> BUFFER,4.7,7,3,0
453,"XNOR(D, AND(C, NAND(A, B)))","[1, 0, 0, 1]",XNOR -> AND -> NAND,6,9,3,1
